"","sample_id","all_reads","all_reads_nonbacteria","all_reads_bacteria","all_reads_bacteria_per","SampleID","Experiment","Timepoint","Variety","Compartment","Treatment","Sample","MergeExpTime"
"1","E1_MRE_Def1_1",49452,3988,45464,"91.9356%","E1_MRE_Def1_1","Exp1","day1","MH63","Root","Defoliation","E1_MRE_Def1","Exp1_day1"
"2","E1_MRE_Def1_2",53742,3889,49853,"92.7636%","E1_MRE_Def1_2","Exp1","day1","MH63","Root","Defoliation","E1_MRE_Def1","Exp1_day1"
"3","E1_MRE_Def1_3",68492,5604,62888,"91.818%","E1_MRE_Def1_3","Exp1","day1","MH63","Root","Defoliation","E1_MRE_Def1","Exp1_day1"
"4","E1_MRE_Def3_1",89533,318,89215,"99.6448%","E1_MRE_Def3_1","Exp1","day3","MH63","Root","Defoliation","E1_MRE_Def3","Exp1_day3"
"5","E1_MRE_Def3_2",85322,209,85113,"99.755%","E1_MRE_Def3_2","Exp1","day3","MH63","Root","Defoliation","E1_MRE_Def3","Exp1_day3"
"6","E1_MRE_Def3_3",80999,346,80653,"99.5728%","E1_MRE_Def3_3","Exp1","day3","MH63","Root","Defoliation","E1_MRE_Def3","Exp1_day3"
"7","E1_MRE_Def5_1",75721,1762,73959,"97.673%","E1_MRE_Def5_1","Exp1","day5","MH63","Root","Defoliation","E1_MRE_Def5","Exp1_day5"
"8","E1_MRE_Def5_2",70844,1613,69231,"97.7232%","E1_MRE_Def5_2","Exp1","day5","MH63","Root","Defoliation","E1_MRE_Def5","Exp1_day5"
"9","E1_MRE_Def5_3",51982,1477,50505,"97.1586%","E1_MRE_Def5_3","Exp1","day5","MH63","Root","Defoliation","E1_MRE_Def5","Exp1_day5"
"10","E1_MRE_Def7_1",48252,822,47430,"98.2964%","E1_MRE_Def7_1","Exp1","day7","MH63","Root","Defoliation","E1_MRE_Def7","Exp1_day7"
"11","E1_MRE_Def7_2",53976,426,53550,"99.2108%","E1_MRE_Def7_2","Exp1","day7","MH63","Root","Defoliation","E1_MRE_Def7","Exp1_day7"
"12","E1_MRE_Def7_3",46829,1318,45511,"97.1855%","E1_MRE_Def7_3","Exp1","day7","MH63","Root","Defoliation","E1_MRE_Def7","Exp1_day7"
"13","E1_MRE_Int1_1",63486,383,63103,"99.3967%","E1_MRE_Int1_1","Exp1","day1","MH63","Root","Intact","E1_MRE_Int1","Exp1_day1"
"14","E1_MRE_Int1_2",55853,1909,53944,"96.5821%","E1_MRE_Int1_2","Exp1","day1","MH63","Root","Intact","E1_MRE_Int1","Exp1_day1"
"15","E1_MRE_Int1_3",48367,2968,45399,"93.8636%","E1_MRE_Int1_3","Exp1","day1","MH63","Root","Intact","E1_MRE_Int1","Exp1_day1"
