"Source","Target","r","p","adjust.p"
"Zotu1025","Zotu1011",0.916585891222402,0,0
"Zotu1041","Zotu1016",0.826530612244898,4.6385117968839e-13,1.3872482691355e-10
"Zotu10430","Zotu10065",0.830112896222319,2.99094082834017e-13,9.82135924750344e-11
"Zotu10430","Zotu10300",0.844442032132002,4.64073224293315e-14,2.2858174640626e-11
"Zotu1063","Zotu1033",0.839607038365538,8.88178419700125e-14,3.89198577158205e-11
"Zotu1064","Zotu1036",0.834869566473733,1.64313007644523e-13,6.27272266625263e-11
"Zotu109","Zotu107",0.807772681926919,3.96527255475121e-12,7.6776660248217e-10
"Zotu1092","Zotu1036",0.808069005392539,3.84003939757349e-12,7.49138570275375e-10
"Zotu1092","Zotu1064",0.805284498136408,5.17896836527143e-12,9.53633189521664e-10
"Zotu1113","Zotu10",0.856433176832331,8.43769498715119e-15,5.43082453488463e-12
"Zotu1134","Zotu1036",0.803233536439011,6.43551878454218e-12,1.13533900394501e-09
"Zotu1134","Zotu1064",0.844046250895327,4.88498130835069e-14,2.37888451076227e-11
"Zotu1151","Zotu100",-0.858284493730906,6.21724893790088e-15,4.2339465267105e-12
"Zotu1151","Zotu1033",0.863530554306164,2.88657986402541e-15,2.2783589490064e-12
"Zotu1151","Zotu1063",0.891400879804246,0,0
"Zotu1151","Zotu1064",-0.827471267656993,4.13891143580258e-13,1.27460678483783e-10
"Zotu1155","Zotu1011",0.850070503074311,2.1316282072803e-14,1.22260246371297e-11
"Zotu1155","Zotu1025",0.830809930160959,2.74225087082414e-13,9.20379983756618e-11
"Zotu11729","Zotu10065",0.82490230134607,5.6443738571943e-13,1.60264823780857e-10
"Zotu11729","Zotu10300",0.864850195397308,2.22044604925031e-15,1.81934890433478e-12
"Zotu11729","Zotu10430",0.945831524099001,0,0
"Zotu11729","Zotu11141",0.850480513446772,1.99840144432528e-14,1.15646953896617e-11
"Zotu11736","Zotu11141",0.851357379974231,1.77635683940025e-14,1.04436429132657e-11
"Zotu118","Zotu102",0.826002076836347,4.94493335168045e-13,1.456943325497e-10
"Zotu11993","Zotu10065",0.803625705601389,6.1748384183602e-12,1.10292015289989e-09
"Zotu11993","Zotu10430",0.838037342596613,1.09245945623115e-13,4.64518440187487e-11
"Zotu11993","Zotu11141",0.857266984189246,7.54951656745106e-15,4.97072111362896e-12
"Zotu11993","Zotu11729",0.88384715588363,0,0
"Zotu11993","Zotu11736",0.831849353970376,2.40696351738734e-13,8.37243769372176e-11
"Zotu1207","Zotu1033",0.805286888506068,5.17763609764188e-12,9.53633189521664e-10
"Zotu1207","Zotu1063",0.838555740310108,1.01918473660589e-13,4.39883881828168e-11
"Zotu1208","Zotu1064",0.809338868003984,3.3451019731956e-12,6.69277111767295e-10
"Zotu1208","Zotu1134",0.811372710116738,2.67608157855648e-12,5.59719594281887e-10
"Zotu12105","Zotu10300",0.930192167027852,0,0
"Zotu12105","Zotu11729",0.810009775699674,3.10862446895044e-12,6.34255230681138e-10
"Zotu123","Zotu1033",0.841910359539145,6.52811138479592e-14,3.02495335781767e-11
"Zotu123","Zotu1063",0.801652543872652,7.59570184527547e-12,1.29231578811058e-09
"Zotu123","Zotu1151",0.806841220993575,4.38404867963982e-12,8.34453230211178e-10
"Zotu123","Zotu1207",0.873558851375356,4.44089209850063e-16,4.56649326586021e-13
"Zotu12411","Zotu11736",0.8330832554684,2.06057393370429e-13,7.49059255936822e-11
"Zotu12413","Zotu11729",0.832903628824658,2.1094237467878e-13,7.5721858083753e-11
"Zotu12783","Zotu11141",0.869284568652369,1.11022302462516e-15,1.0307462317724e-12
"Zotu12783","Zotu11729",0.82963783859244,3.17079695832945e-13,1.02940820647531e-10
"Zotu12783","Zotu11736",0.841951543957715,6.48370246381091e-14,3.01520202199483e-11
"Zotu12783","Zotu11993",0.807350358981452,4.15023571065376e-12,7.96410175973253e-10
"Zotu128","Zotu1208",0.802450665939801,6.98729962778089e-12,1.21442090682197e-09
"Zotu1289","Zotu1113",0.808624859646874,3.61533025738936e-12,7.11651081560062e-10
"Zotu1299","Zotu1223",0.80967778989519,3.2236435743016e-12,6.53436152910174e-10
"Zotu1312","Zotu1033",0.823286172734139,6.84341472378946e-13,1.85533455545729e-10
"Zotu1312","Zotu1052",0.821344217441585,8.60644888689421e-13,2.25285583291938e-10
"Zotu1312","Zotu1063",0.860667349961223,4.44089209850063e-15,3.17504102418536e-12
"Zotu13236","Zotu1",0.867455492835432,1.55431223447522e-15,1.37857880895471e-12
"Zotu13236","Zotu11141",0.898691601601304,0,0
"Zotu13236","Zotu11729",0.881458966565349,0,0
"Zotu13236","Zotu11736",0.881729820600178,0,0
"Zotu13236","Zotu11993",0.885801128962223,0,0
"Zotu13236","Zotu12411",0.800160753725541,8.86934969912545e-12,1.44739951336203e-09
"Zotu13236","Zotu12783",0.84812013875765,2.79776202205539e-14,1.50751478106571e-11
"Zotu13236","Zotu132",-0.800803300043422,8.29780688604842e-12,1.37109837354815e-09
"Zotu133","Zotu132",0.827460804688303,4.14335232790108e-13,1.27460678483783e-10
"Zotu1331","Zotu1033",0.845896278008194,3.79696274421804e-14,1.93292364362905e-11
"Zotu1331","Zotu1063",0.860409949004713,4.44089209850063e-15,3.17504102418536e-12
"Zotu1331","Zotu1151",0.860612338462382,4.44089209850063e-15,3.17504102418536e-12
"Zotu1331","Zotu123",0.820333292302101,9.68558566682987e-13,2.47019760377779e-10
"Zotu135","Zotu1036",0.807177451534342,4.22817336698245e-12,8.0896020596353e-10
"Zotu135","Zotu1064",0.827259005423163,4.2454928461666e-13,1.29675438828728e-10
"Zotu135","Zotu1092",0.825592406342966,5.19584375524573e-13,1.52045587005121e-10
"Zotu135","Zotu1134",0.823405147636341,6.7479355436717e-13,1.83523226120772e-10
"Zotu135","Zotu1208",0.814990661398841,1.78701498043665e-12,4.04230306253917e-10
"Zotu1351","Zotu1036",0.824924785929183,5.62883073484954e-13,1.60188862174948e-10
"Zotu1351","Zotu1064",0.883243058737038,0,0
"Zotu1351","Zotu1114",0.81058300485126,2.91899837634446e-12,6.03195005553346e-10
"Zotu1351","Zotu1134",0.826904245403903,4.43201031430362e-13,1.34080049171099e-10
"Zotu1351","Zotu1208",0.866263022735244,1.77635683940025e-15,1.50814448648804e-12
"Zotu1351","Zotu135",0.837774430744127,1.12798659301916e-13,4.75706228221654e-11
"Zotu13577","Zotu11729",0.810971472395356,2.79687384363569e-12,5.80281625537403e-10
"Zotu13577","Zotu12413",0.802134090406487,7.22266690900142e-12,1.24436911031093e-09
"Zotu1358","Zotu1011",0.897237157712384,0,0
"Zotu1358","Zotu1025",0.901359407715001,0,0
"Zotu13667","Zotu10430",0.847637193273289,2.97539770599542e-14,1.58339623199941e-11
"Zotu13667","Zotu11141",0.860647552489298,4.44089209850063e-15,3.17504102418536e-12
"Zotu13667","Zotu11729",0.903675616734434,0,0
"Zotu13667","Zotu11993",0.866129873015467,1.77635683940025e-15,1.50814448648804e-12
"Zotu13667","Zotu12783",0.801223124339734,7.94342369658807e-12,1.32956531301277e-09
"Zotu13667","Zotu13236",0.888433165553003,0,0
"Zotu13684","Zotu11729",0.838173003495776,1.0724754417879e-13,4.59996573722854e-11
"Zotu13684","Zotu13236",0.856583485093014,8.21565038222616e-15,5.31441390476739e-12
"Zotu13684","Zotu13667",0.874706560102337,4.44089209850063e-16,4.56649326586021e-13
"Zotu13752","Zotu10300",0.905695239407536,0,0
"Zotu13752","Zotu12105",0.904218940160524,0,0
"Zotu1386","Zotu10430",0.86519933812089,2.22044604925031e-15,1.81934890433478e-12
"Zotu1386","Zotu1142",0.800803411714845,8.29780688604842e-12,1.37109837354815e-09
"Zotu1386","Zotu11729",0.907862241493727,0,0
"Zotu1386","Zotu11993",0.88598800477712,0,0
"Zotu1386","Zotu12413",0.889838788470933,0,0
"Zotu1386","Zotu13236",0.809455315520504,3.30291349825984e-12,6.61348852589113e-10
"Zotu1386","Zotu13577",0.84786770571026,2.88657986402541e-14,1.54890514828502e-11
"Zotu1386","Zotu13667",0.802940322254949,6.63713528581411e-12,1.16374862780797e-09
"Zotu14","Zotu102",0.887429439861051,0,0
"Zotu14","Zotu113",0.856693089404386,7.99360577730113e-15,5.19683037157593e-12
"Zotu14","Zotu132",0.808184976118107,3.79207776290968e-12,7.42025381750741e-10
"Zotu14","Zotu13236",-0.807425097698654,4.11692901991501e-12,7.90606594576669e-10
"Zotu1400","Zotu102",0.811789291150316,2.55551135808219e-12,5.40192404594311e-10
"Zotu1400","Zotu14",0.874480962137118,4.44089209850063e-16,4.56649326586021e-13
"Zotu14053","Zotu10065",0.837928788536691,1.10578213252666e-13,4.68639183288994e-11
"Zotu14053","Zotu11729",0.814481111593574,1.89270821238097e-12,4.24050431343156e-10
"Zotu14053","Zotu11736",0.851561940127568,1.70974345792274e-14,1.01211714850092e-11
"Zotu14053","Zotu11993",0.8608336951802,4.44089209850063e-15,3.17504102418536e-12
