"Source","Target","r","p","adjust.p"
"Zotu102","Zotu1017",0.808586859472202,3.63042929052426e-12,8.39665132542562e-10
"Zotu1024","Zotu102",0.803278693258529,6.40509867366745e-12,1.27779536313925e-09
"Zotu1027","Zotu1017",0.809651768284091,3.23274740310353e-12,7.68110893311716e-10
"Zotu1027","Zotu102",0.812941053536947,2.24886775868072e-12,5.86460056562097e-10
"Zotu104","Zotu1",0.857468519322623,7.105427357601e-15,7.81057595482681e-12
"Zotu10430","Zotu1",0.916551190173056,0,0
"Zotu10430","Zotu10300",0.826104436573326,4.88498130835069e-13,1.85908160157599e-10
"Zotu10514","Zotu1044",0.824829718487367,5.6932236702778e-13,2.08543808065762e-10
"Zotu1080","Zotu1072",0.867383512544803,1.55431223447522e-15,2.5010071463931e-12
"Zotu1102","Zotu1044",0.821331716638588,8.61977156318972e-13,2.84178077755496e-10
"Zotu1103","Zotu1007",0.809358380624725,3.337996545838e-12,7.86733605286491e-10
"Zotu1103","Zotu1017",0.871915970645597,8.88178419700125e-16,1.62027905445875e-12
"Zotu1103","Zotu102",0.831288681481357,2.58459920132736e-13,1.15376642911734e-10
"Zotu1103","Zotu1027",0.858306188925081,6.21724893790088e-15,6.98129590723762e-12
"Zotu1110","Zotu1044",0.85075641771243,1.90958360235527e-14,1.64316041458265e-11
"Zotu1110","Zotu10514",0.834335416271556,1.75859327100625e-13,8.67995215177237e-11
"Zotu1110","Zotu1102",0.881823156705973,0,0
"Zotu1111","Zotu1007",0.860710025699908,4.44089209850063e-15,5.48427786951574e-12
"Zotu1111","Zotu1103",0.8085776330076,3.63398200420306e-12,8.40214396816582e-10
"Zotu11141","Zotu10430",0.85156889462018,1.70974345792274e-14,1.51687100098313e-11
"Zotu1119","Zotu1017",0.833523313249742,1.94955163124177e-13,9.33088214172775e-11
"Zotu1119","Zotu1027",0.806557557704662,4.51971793324901e-12,9.8724006678693e-10
"Zotu113","Zotu1044",0.843488774320983,5.28466159721575e-14,3.48930391975328e-11
"Zotu113","Zotu1045",0.806198605339371,4.69713157258411e-12,1.01463029024912e-09
"Zotu113","Zotu10514",0.861779792430701,3.77475828372553e-15,4.87740621721626e-12
"Zotu113","Zotu1069",0.81915945608149,1.11000098002023e-12,3.45095308569766e-10
"Zotu113","Zotu1110",0.810720660776284,2.87547763377916e-12,7.05856843095525e-10
"Zotu114","Zotu1034",0.8714060054344,8.88178419700125e-16,1.62027905445875e-12
"Zotu114","Zotu1065",-0.811166260674423,2.73758793412071e-12,6.80074744633363e-10
"Zotu1141","Zotu10402",0.80722989689673,4.20441459425547e-12,9.37903243062819e-10
"Zotu1142","Zotu1",0.801826422496689,7.45892236864165e-12,1.43531165478819e-09
"Zotu1151","Zotu1069",-0.806774669465533,4.41557901353917e-12,9.71566361413113e-10
"Zotu1151","Zotu1102",-0.82172731542205,8.22897305852166e-13,2.73927360488927e-10
"Zotu116","Zotu10514",0.824309148696676,6.0595972684041e-13,2.1869407193841e-10
"Zotu1161","Zotu1119",0.827823915757477,3.96349619791181e-13,1.5943920558256e-10
