"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","diff","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1",0.0656114892785916
"Zotu10","Zotu10","diff","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu10",0.0215730718458148
"Zotu100","Zotu100","other","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu100",0.00205098899455089
"Zotu10065","Zotu10065","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu10065",0.00124364085169032
"Zotu1011","Zotu1011","other","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","uncultured bacterium","Zotu1011",0.000291417736631437
"Zotu1016","Zotu1016","other","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","uncultured bacterium","Zotu1016",0.00107547126944337
"Zotu102","Zotu102","other","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","BSV26","uncultured bacterium",NA,"Zotu102",0.000175876493062351
"Zotu1025","Zotu1025","other","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium","Zotu1025",0.00032182178682287
"Zotu1029","Zotu1029","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu1029",0.000274770725252032
"Zotu103","Zotu103","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu103",0.00537692345517082
"Zotu10300","Zotu10300","diff","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans","uncultured bacterium","Zotu10300",0.000376685095852633
"Zotu1033","Zotu1033","other","Bacteria","Deinococcus-Thermus","Deinococci","Thermales","Thermaceae","Meiothermus",NA,"Zotu1033",0.000190019710050797
"Zotu1035","Zotu1035","other","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured",NA,"Zotu1035",0.000243770878773914
"Zotu1036","Zotu1036","other","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Leptospiraceae","Turneriella","uncultured organism","Zotu1036",0.000135111737562243
"Zotu1041","Zotu1041","other","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","possible family 01","uncultured microorganism",NA,"Zotu1041",0.000518725118226439
"Zotu10430","Zotu10430","diff","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu10430",0.00037768109625491
"Zotu1052","Zotu1052","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylobacteriaceae","Meganema","uncultured bacterium","Zotu1052",0.000380939881698456
"Zotu1063","Zotu1063","other","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae",NA,NA,"Zotu1063",0.000244800190265275
"Zotu1064","Zotu1064","other","Bacteria","Bacteroidetes","SB-5",NA,NA,NA,NA,"Zotu1064",0.000170900501295164
"Zotu107","Zotu107","other","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu107",0.00025632965676141
"Zotu109","Zotu109","other","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadales Incertae Sedis","uncultured","uncultured gamma proteobacterium","Zotu109",0.000240719357724942
"Zotu1092","Zotu1092","other","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29",NA,NA,"Zotu1092",0.000192103116538592
"Zotu1113","Zotu1113","other","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu1113",0.000783515234522382
"Zotu1114","Zotu1114","other","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia Incertae Sedis","Prolixibacteraceae","Prolixibacter","uncultured bacterium","Zotu1114",0.000111930153762539
"Zotu11141","Zotu11141","diff","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira","uncultured bacterium","Zotu11141",0.00011420597293831
"Zotu1117","Zotu1117","other","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA,"Zotu1117",0.000247590516280366
"Zotu112","Zotu112","diff","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales",NA,NA,NA,"Zotu112",0.000602444648667011
"Zotu113","Zotu113","other","Bacteria","Proteobacteria","Betaproteobacteria","SC-I-84",NA,NA,NA,"Zotu113",0.000141806497292946
"Zotu1134","Zotu1134","other","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium",NA,"Zotu1134",0.000193935143184798
"Zotu1142","Zotu1142","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu1142",0.000191716434250543
"Zotu1147","Zotu1147","other","Bacteria","Bacteroidetes","SB-5","uncultured bacterium",NA,NA,NA,"Zotu1147",0.000177245574881969
"Zotu115","Zotu115","other","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Anaeromyxobacter","uncultured bacterium","Zotu115",0.00151094050247312
"Zotu1151","Zotu1151","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomonas","uncultured bacterium","Zotu1151",0.000101384390627981
"Zotu1155","Zotu1155","other","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","uncultured bacterium","Zotu1155",0.000287171494343597
"Zotu11729","Zotu11729","diff","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu11729",0.00211299171686391
"Zotu11736","Zotu11736","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Zoogloea",NA,"Zotu11736",0.000170427685392406
"Zotu118","Zotu118","other","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylococcaceae","Methylomicrobium",NA,"Zotu118",0.000198572428241994
