"label","id","labelDiff","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","diff","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1",0.0219566185385718
"Zotu10","Zotu10","diff","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu10",0.00249180122236747
"Zotu100","Zotu100","other","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu100",0.000565345517484123
"Zotu1006","Zotu1006","other","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,"Zotu1006",0.000214777907140634
"Zotu1007","Zotu1007","other","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Zotu1007",0.000199119208315397
"Zotu101","Zotu101","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu101",0.000981684459308274
"Zotu1017","Zotu1017","other","Bacteria","Proteobacteria","Deltaproteobacteria","GR-WP33-30","uncultured bacterium",NA,NA,"Zotu1017",0.000223940885934415
"Zotu1018","Zotu1018","other","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","uncultured","uncultured bacterium","Zotu1018",0.00015824309545929
"Zotu102","Zotu102","other","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","BSV26","uncultured bacterium",NA,"Zotu102",0.00208403897144188
"Zotu1020","Zotu1020","other","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter","uncultured bacterium","Zotu1020",0.000217850991446109
"Zotu1024","Zotu1024","other","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1024",0.000214935741777139
"Zotu1026","Zotu1026","other","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1026",0.00016225356016053
"Zotu1027","Zotu1027","other","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485",NA,NA,NA,"Zotu1027",0.000194816108686029
"Zotu1029","Zotu1029","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu1029",0.00013725880955029
"Zotu103","Zotu103","other","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu103",0.00305565671258923
"Zotu10300","Zotu10300","diff","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans","uncultured bacterium","Zotu10300",0.000241440192772481
"Zotu1031","Zotu1031","other","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","uncultured","uncultured bacterium","Zotu1031",0.000186475036274078
"Zotu1034","Zotu1034","other","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured bacterium","Zotu1034",0.000209825107947492
"Zotu104","Zotu104","diff","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Denitratisoma","uncultured bacterium","Zotu104",0.000904534423242374
"Zotu10402","Zotu10402","other","Bacteria","Bacteroidetes","Bacteroidetes vadinHA17","uncultured bacterium",NA,NA,NA,"Zotu10402",0.000966433982287244
"Zotu1042","Zotu1042","other","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","GOUTB8","uncultured bacterium",NA,"Zotu1042",0.000225562191145934
"Zotu10430","Zotu10430","diff","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu10430",0.000195401682077799
"Zotu1044","Zotu1044","other","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu1044",0.000180192437570457
"Zotu1045","Zotu1045","other","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,"Zotu1045",0.000197215336465487
