"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1",1988.16666666667
"Zotu10","Zotu10","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu10",10
"Zotu100","Zotu100","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu100",49.5833333333333
"Zotu1002","Zotu1002","Bacteria","Chloroflexi","JG30-KF-CM66","uncultured Chloroflexi bacterium",NA,NA,NA,"Zotu1002",9.91666666666667
"Zotu1003","Zotu1003","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured soil bacterium","Zotu1003",10.4166666666667
"Zotu1005","Zotu1005","Bacteria","Planctomycetes","Phycisphaerae","KCLunmb-38-53",NA,NA,NA,"Zotu1005",13.0416666666667
"Zotu1006","Zotu1006","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,"Zotu1006",9.66666666666667
"Zotu1007","Zotu1007","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Zotu1007",13.375
"Zotu1009","Zotu1009","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","Unknown Family",NA,NA,"Zotu1009",14.5
"Zotu101","Zotu101","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu101",93.3333333333333
"Zotu1014","Zotu1014","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS","uncultured bacterium",NA,NA,"Zotu1014",14.9166666666667
"Zotu1017","Zotu1017","Bacteria","Proteobacteria","Deltaproteobacteria","GR-WP33-30","uncultured bacterium",NA,NA,"Zotu1017",12.7916666666667
"Zotu102","Zotu102","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","BSV26","uncultured bacterium",NA,"Zotu102",121.916666666667
"Zotu1020","Zotu1020","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter","uncultured bacterium","Zotu1020",17.0416666666667
"Zotu1023","Zotu1023","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Pseudorhodoferax",NA,"Zotu1023",16.125
"Zotu1024","Zotu1024","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1024",14.875
"Zotu1026","Zotu1026","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA,"Zotu1026",8.70833333333333
"Zotu1027","Zotu1027","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485",NA,NA,NA,"Zotu1027",11.9583333333333
"Zotu1028","Zotu1028","Bacteria","Chloroflexi","uncultured",NA,NA,NA,NA,"Zotu1028",15
