"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1",4298.29166666667
"Zotu10","Zotu10","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu10",3120.16666666667
"Zotu100","Zotu100","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu100",104.833333333333
"Zotu10065","Zotu10065","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu10065",87.7083333333333
"Zotu1029","Zotu1029","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu1029",14.2083333333333
"Zotu103","Zotu103","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu103",298.666666666667
"Zotu10300","Zotu10300","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans","uncultured bacterium","Zotu10300",24.375
"Zotu1036","Zotu1036","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Leptospiraceae","Turneriella","uncultured organism","Zotu1036",8.95833333333333
"Zotu1039","Zotu1039","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Denitratisoma","uncultured bacterium","Zotu1039",8.95833333333333
"Zotu1041","Zotu1041","Bacteria","Fibrobacteres","Fibrobacteria","Fibrobacterales","possible family 01","uncultured microorganism",NA,"Zotu1041",26.2916666666667
"Zotu10430","Zotu10430","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu10430",29.4583333333333
"Zotu1063","Zotu1063","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae",NA,NA,"Zotu1063",7.41666666666667
