"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1",1361.41666666667
"Zotu10","Zotu10","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu10",11.2916666666667
"Zotu100","Zotu100","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu100",40.7916666666667
"Zotu1002","Zotu1002","Bacteria","Chloroflexi","JG30-KF-CM66","uncultured Chloroflexi bacterium",NA,NA,NA,"Zotu1002",7.5
"Zotu1003","Zotu1003","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured soil bacterium","Zotu1003",7.70833333333333
"Zotu1004","Zotu1004","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS","uncultured bacterium",NA,NA,"Zotu1004",13.6666666666667
"Zotu1006","Zotu1006","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,"Zotu1006",12.375
"Zotu1007","Zotu1007","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Zotu1007",12.6666666666667
"Zotu1009","Zotu1009","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","Unknown Family",NA,NA,"Zotu1009",15.375
"Zotu101","Zotu101","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu101",65.3333333333333
"Zotu1012","Zotu1012","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29","uncultured bacterium",NA,"Zotu1012",15.4166666666667
"Zotu1013","Zotu1013","Bacteria","Bacteroidetes","Bacteroidetes vadinHA17","uncultured bacterium",NA,NA,NA,"Zotu1013",17.75
"Zotu1014","Zotu1014","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS","uncultured bacterium",NA,NA,"Zotu1014",15
"Zotu1017","Zotu1017","Bacteria","Proteobacteria","Deltaproteobacteria","GR-WP33-30","uncultured bacterium",NA,NA,"Zotu1017",15.375
"Zotu1019","Zotu1019","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","uncultured","uncultured bacterium","Zotu1019",12
