"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1",1202.66666666667
"Zotu10","Zotu10","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu10",226.291666666667
"Zotu100","Zotu100","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu100",28.3333333333333
"Zotu1000","Zotu1000","Bacteria","Proteobacteria","Betaproteobacteria","TRA3-20","uncultured bacterium",NA,NA,"Zotu1000",16.4166666666667
"Zotu1002","Zotu1002","Bacteria","Chloroflexi","JG30-KF-CM66","uncultured Chloroflexi bacterium",NA,NA,NA,"Zotu1002",16.2916666666667
"Zotu1005","Zotu1005","Bacteria","Planctomycetes","Phycisphaerae","KCLunmb-38-53",NA,NA,NA,"Zotu1005",15.1666666666667
"Zotu1006","Zotu1006","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,"Zotu1006",20.4583333333333
"Zotu10063","Zotu10063","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Denitratisoma",NA,"Zotu10063",3.875
"Zotu1007","Zotu1007","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Zotu1007",16.1666666666667
"Zotu101","Zotu101","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu101",51.4583333333333
"Zotu1010","Zotu1010","Bacteria","Firmicutes","Clostridia","Clostridiales","Family XII","Acidaminobacter","uncultured bacterium","Zotu1010",13.3333333333333
"Zotu1014","Zotu1014","Bacteria","Proteobacteria","Betaproteobacteria","B1-7BS","uncultured bacterium",NA,NA,"Zotu1014",22.625
"Zotu1015","Zotu1015","Bacteria","Bacteroidetes","Bacteroidetes vadinHA17","uncultured bacterium",NA,NA,NA,"Zotu1015",20.5
"Zotu1017","Zotu1017","Bacteria","Proteobacteria","Deltaproteobacteria","GR-WP33-30","uncultured bacterium",NA,NA,"Zotu1017",16.9583333333333
"Zotu1018","Zotu1018","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Methylocystaceae","uncultured","uncultured bacterium","Zotu1018",20.1666666666667
"Zotu102","Zotu102","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","BSV26","uncultured bacterium",NA,"Zotu102",163.708333333333
"Zotu1022","Zotu1022","Bacteria","Acidobacteria","Holophagae","TPD-58","uncultured bacterium",NA,NA,"Zotu1022",8.70833333333333
"Zotu1024","Zotu1024","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1024",15.7916666666667
"Zotu1027","Zotu1027","Bacteria","Proteobacteria","Deltaproteobacteria","Sva0485",NA,NA,NA,"Zotu1027",15.5833333333333
"Zotu1029","Zotu1029","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu1029",8.5
"Zotu103","Zotu103","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured","uncultured bacterium","Zotu103",186.916666666667
"Zotu10300","Zotu10300","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans","uncultured bacterium","Zotu10300",14.8333333333333
"Zotu1031","Zotu1031","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","uncultured","uncultured bacterium","Zotu1031",15.2916666666667
"Zotu1034","Zotu1034","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Saprospiraceae","uncultured","uncultured bacterium","Zotu1034",23.5416666666667
"Zotu1039","Zotu1039","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Denitratisoma","uncultured bacterium","Zotu1039",5.33333333333333
"Zotu104","Zotu104","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Denitratisoma","uncultured bacterium","Zotu104",66.625
"Zotu10402","Zotu10402","Bacteria","Bacteroidetes","Bacteroidetes vadinHA17","uncultured bacterium",NA,NA,NA,"Zotu10402",57.875
"Zotu10409","Zotu10409","Bacteria","Proteobacteria","Deltaproteobacteria","43F-1404R","uncultured bacterium",NA,NA,"Zotu10409",10.3333333333333
"Zotu1042","Zotu1042","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","GOUTB8","uncultured bacterium",NA,"Zotu1042",16.7916666666667
"Zotu1043","Zotu1043","Bacteria","Acidobacteria","Acidobacteria","Subgroup 3","Unknown Family","Bryobacter","uncultured bacterium","Zotu1043",19.25
"Zotu10430","Zotu10430","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu10430",12.7916666666667
"Zotu1044","Zotu1044","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium",NA,"Zotu1044",14.375
"Zotu1045","Zotu1045","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,"Zotu1045",17.625
"Zotu1047","Zotu1047","Bacteria","Acidobacteria","Acidobacteria","Subgroup 21","uncultured bacterium",NA,NA,"Zotu1047",13.4583333333333
"Zotu1048","Zotu1048","Bacteria","Proteobacteria","Deltaproteobacteria","GR-WP33-30","uncultured bacterium",NA,NA,"Zotu1048",14.2916666666667
"Zotu1049","Zotu1049","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","uncultured Gemmatimonas sp.","Zotu1049",10.9583333333333
"Zotu105","Zotu105","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae 1","Clostridium sensu stricto 1","uncultured bacterium","Zotu105",103.75
"Zotu10514","Zotu10514","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","uncultured bacterium","Zotu10514",25.375
"Zotu1056","Zotu1056","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","uncultured","uncultured bacterium","Zotu1056",5.625
"Zotu1057","Zotu1057","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","uncultured bacterium","Zotu1057",15.2916666666667
"Zotu1059","Zotu1059","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1059",12.375
"Zotu1060","Zotu1060","Bacteria","GOUTA4","uncultured bacterium",NA,NA,NA,NA,"Zotu1060",15.9166666666667
"Zotu1065","Zotu1065","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","BVA59","uncultured bacterium",NA,"Zotu1065",10
"Zotu1067","Zotu1067","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales",NA,NA,NA,"Zotu1067",11.4583333333333
"Zotu1069","Zotu1069","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","GR-WP33-58",NA,NA,"Zotu1069",15.2083333333333
"Zotu107","Zotu107","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","uncultured",NA,"Zotu107",142.416666666667
"Zotu10706","Zotu10706","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae",NA,NA,"Zotu10706",17.9583333333333
"Zotu1072","Zotu1072","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324 clade(Marine group B)","uncultured organism",NA,NA,"Zotu1072",12.0416666666667
"Zotu1073","Zotu1073","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales",NA,NA,NA,"Zotu1073",10.6666666666667
"Zotu1074","Zotu1074","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","uncultured bacterium","Zotu1074",13.25
"Zotu1076","Zotu1076","Bacteria","Acidobacteria","Holophagae","Holophagales","Holophagaceae","Geothrix","uncultured bacterium","Zotu1076",12.3333333333333
"Zotu1077","Zotu1077","Bacteria","Acidobacteria","Holophagae","Subgroup 7","uncultured bacterium",NA,NA,"Zotu1077",15.4166666666667
"Zotu1078","Zotu1078","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1078",13.5833333333333
"Zotu1080","Zotu1080","Bacteria","TA06","uncultured bacterium",NA,NA,NA,NA,"Zotu1080",9.25
"Zotu1083","Zotu1083","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","MA-28-I98C","uncultured delta proteobacterium",NA,"Zotu1083",14.5833333333333
"Zotu1086","Zotu1086","Bacteria","Verrucomicrobia","OPB35 soil group","uncultured bacterium",NA,NA,NA,"Zotu1086",27.7916666666667
"Zotu1087","Zotu1087","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Alcaligenaceae","uncultured",NA,"Zotu1087",9.45833333333333
