"label","id","Kingdom","Phylum","Class","Order","Family","Genus","Species","name","abun"
"Zotu1","Zotu1","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu1",6289.33333333333
"Zotu10","Zotu10","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu10",2734.08333333333
"Zotu100","Zotu100","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu100",115.916666666667
"Zotu10065","Zotu10065","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu10065",117.083333333333
"Zotu1016","Zotu1016","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Hydrogenophaga","uncultured bacterium","Zotu1016",86
"Zotu102","Zotu102","Bacteria","Chlorobi","Ignavibacteria","Ignavibacteriales","BSV26","uncultured bacterium",NA,"Zotu102",8.5
"Zotu1029","Zotu1029","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu1029",23.4583333333333
"Zotu10300","Zotu10300","Bacteria","Proteobacteria","Betaproteobacteria","Nitrosomonadales","Gallionellaceae","Sideroxydans","uncultured bacterium","Zotu10300",31.4583333333333
"Zotu1035","Zotu1035","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured",NA,"Zotu1035",10.125
"Zotu1036","Zotu1036","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Leptospiraceae","Turneriella","uncultured organism","Zotu1036",8.20833333333333
"Zotu10402","Zotu10402","Bacteria","Bacteroidetes","Bacteroidetes vadinHA17","uncultured bacterium",NA,NA,NA,"Zotu10402",10.5833333333333
"Zotu10430","Zotu10430","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu10430",30.5833333333333
"Zotu1057","Zotu1057","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","uncultured bacterium","Zotu1057",11
"Zotu1064","Zotu1064","Bacteria","Bacteroidetes","SB-5",NA,NA,NA,NA,"Zotu1064",11.5833333333333
"Zotu1073","Zotu1073","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales",NA,NA,NA,"Zotu1073",11.8333333333333
"Zotu1089","Zotu1089","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","uncultured bacterium",NA,"Zotu1089",17.1666666666667
"Zotu1092","Zotu1092","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","4-29",NA,NA,"Zotu1092",8.20833333333333
"Zotu110","Zotu110","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Anaeromyxobacter","uncultured bacterium","Zotu110",112.208333333333
"Zotu1105","Zotu1105","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia","uncultured bacterium","Zotu1105",14.3333333333333
"Zotu1113","Zotu1113","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus","uncultured bacterium","Zotu1113",87.0833333333333
"Zotu1114","Zotu1114","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia Incertae Sedis","Prolixibacteraceae","Prolixibacter","uncultured bacterium","Zotu1114",9.91666666666667
"Zotu11141","Zotu11141","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azospira","uncultured bacterium","Zotu11141",8.66666666666667
"Zotu1117","Zotu1117","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter",NA,"Zotu1117",21.5
"Zotu1127","Zotu1127","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","Spirochaeta 2",NA,"Zotu1127",11.375
"Zotu1142","Zotu1142","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","uncultured",NA,"Zotu1142",20.75
"Zotu1147","Zotu1147","Bacteria","Bacteroidetes","SB-5","uncultured bacterium",NA,NA,NA,"Zotu1147",7.95833333333333
"Zotu115","Zotu115","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Anaeromyxobacter","uncultured bacterium","Zotu115",87.3333333333333
"Zotu1154","Zotu1154","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Porphyromonadaceae","uncultured","uncultured bacterium","Zotu1154",15.8333333333333
"Zotu1163","Zotu1163","Bacteria","Spirochaetae","Spirochaetes","Spirochaetales","Spirochaetaceae","uncultured",NA,"Zotu1163",11.0416666666667
"Zotu11729","Zotu11729","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae",NA,NA,"Zotu11729",198.166666666667
