"","logFC","logCPM","F","PValue","fdr","Experiment","Compartment","Variety","rel.TP1","rel.TP2","rel.TP3","rel.TP4","rel.Intact","rel.Defoliation","function_name"
"methanotrophy",0.421311116219608,13.8262255615727,5.74012253536518,0.0234312682139781,0.283912087818402,"Exp1","Root","NIP",1710.66666666667,1842.83333333333,1078.33333333333,1314,1393.33333333333,1579.58333333333,"methanotrophy"
"acetoclastic_methanogenesis",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"acetoclastic_methanogenesis"
"methanogenesis_by_disproportionation_of_methyl_groups",1.49523636228627,4.35442818442114,1.44154982244254,0.254458939057403,0.926230538168946,"Exp1","Root","NIP",0,0,0,0.5,0,0.25,"methanogenesis_by_disproportionation_of_methyl_groups"
"methanogenesis_using_formate",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"methanogenesis_using_formate"
"methanogenesis_by_CO2_reduction_with_H2",-0.96090537318831,4.91432163063985,0.769373224820407,0.389366772361522,0.944081974072743,"Exp1","Root","NIP",2.66666666666667,1.16666666666667,0,0.833333333333333,1.5,0.833333333333333,"methanogenesis_by_CO2_reduction_with_H2"
"methanogenesis_by_reduction_of_methyl_compounds_with_H2",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"methanogenesis_by_reduction_of_methyl_compounds_with_H2"
"hydrogenotrophic_methanogenesis",-0.96090537318831,4.91432163063985,0.769373224820407,0.389366772361522,0.944081974072743,"Exp1","Root","NIP",2.66666666666667,1.16666666666667,0,0.833333333333333,1.5,0.833333333333333,"hydrogenotrophic_methanogenesis"
"methanogenesis",-1.13950370278847,5.32017154570198,1.24017992264614,0.276794660301037,0.944081974072743,"Exp1","Root","NIP",5.83333333333333,2.16666666666667,0,0.833333333333333,3.16666666666667,1.25,"methanogenesis"
"methanol_oxidation",0.381502928023084,12.4815585451276,2.21523995515303,0.147714576935865,0.748831578329037,"Exp1","Root","NIP",570.333333333333,586.333333333333,598.166666666667,584.333333333333,560.75,608.833333333333,"methanol_oxidation"
"methylotrophy",0.410559279122394,14.3038938034671,4.70189506520929,0.038686458550539,0.293372310674921,"Exp1","Root","NIP",2281.33333333333,2429.16666666667,1676.5,1898.33333333333,1954.08333333333,2188.58333333333,"methylotrophy"
"aerobic_ammonia_oxidation",0.110719512134426,10.9916401697829,0.28600734533497,0.596968267067029,1,"Exp1","Root","NIP",168.166666666667,204,215.833333333333,236,218.333333333333,193.666666666667,"aerobic_ammonia_oxidation"
"aerobic_nitrite_oxidation",-0.228642762060756,14.3985022699426,2.29365246967421,0.14099506029032,0.748831578329037,"Exp1","Root","NIP",2409.83333333333,1781.66666666667,2442.16666666667,2424.33333333333,2677,1852,"aerobic_nitrite_oxidation"
"nitrification",-0.198289809859702,14.5272986892841,1.84012569859543,0.185661132839913,0.762815817483136,"Exp1","Root","NIP",2577.83333333333,1985.5,2657.83333333333,2660.5,2895.33333333333,2045.5,"nitrification"
"sulfate_respiration",-0.520532103396674,12.8441466104397,8.60344061235651,0.00658310324192213,0.247257915677949,"Exp1","Root","NIP",685.666666666667,632.666666666667,899,966.333333333333,1021.91666666667,569.916666666667,"sulfate_respiration"
"sulfur_respiration",1.05891043197474,6.269033622229,1.67887379011672,0.20554434512771,0.779355641942568,"Exp1","Root","NIP",12.5,5.5,2.83333333333333,4.5,3.66666666666667,9,"sulfur_respiration"
"dark_sulfite_oxidation",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"dark_sulfite_oxidation"
"sulfite_respiration",0.113703980379864,11.0451373303622,0.374285343259872,0.545562139050717,1,"Exp1","Root","NIP",223.166666666667,182,254.5,202.666666666667,222.666666666667,208.5,"sulfite_respiration"
"thiosulfate_respiration",-1.36425931137574,4.97042419070243,1.8895893458139,0.180037111990841,0.762815817483136,"Exp1","Root","NIP",1.33333333333333,1,1,1.83333333333333,2,0.583333333333333,"thiosulfate_respiration"
"respiration_of_sulfur_compounds",-0.50546945925503,12.8553936522727,8.09841664825926,0.0081513598575148,0.247257915677949,"Exp1","Root","NIP",698.166666666667,638.5,902,970.833333333333,1026.08333333333,578.666666666667,"respiration_of_sulfur_compounds"
"arsenate_detoxification",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"arsenate_detoxification"
"arsenate_respiration",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"arsenate_respiration"
"dissimilatory_arsenate_reduction",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"dissimilatory_arsenate_reduction"
"arsenite_oxidation_detoxification",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"arsenite_oxidation_detoxification"
"arsenite_oxidation_energy_yielding",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"arsenite_oxidation_energy_yielding"
"dissimilatory_arsenite_oxidation",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"dissimilatory_arsenite_oxidation"
"anammox",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"anammox"
"nitrate_denitrification",0.143581181891198,9.0011065953597,0.098825443909776,0.755549874211751,1,"Exp1","Root","NIP",77.6666666666667,30.6666666666667,86.5,31.1666666666667,60.3333333333333,52.6666666666667,"nitrate_denitrification"
"nitrite_denitrification",0.143581181891198,9.0011065953597,0.098825443909776,0.755549874211751,1,"Exp1","Root","NIP",77.6666666666667,30.6666666666667,86.5,31.1666666666667,60.3333333333333,52.6666666666667,"nitrite_denitrification"
"nitrous_oxide_denitrification",0.143581181891198,9.0011065953597,0.098825443909776,0.755549874211751,1,"Exp1","Root","NIP",77.6666666666667,30.6666666666667,86.5,31.1666666666667,60.3333333333333,52.6666666666667,"nitrous_oxide_denitrification"
"denitrification",0.143581181891198,9.0011065953597,0.098825443909776,0.755549874211751,1,"Exp1","Root","NIP",77.6666666666667,30.6666666666667,86.5,31.1666666666667,60.3333333333333,52.6666666666667,"denitrification"
"chitinolysis",0.206991701252989,9.87032623403565,0.13498649644246,0.716050529566923,1,"Exp1","Root","NIP",58.5,189.5,47.8333333333333,70.6666666666667,116.083333333333,67.1666666666667,"chitinolysis"
"knallgas_bacteria",2.47757095353238e-16,4.26651661060354,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"knallgas_bacteria"
"dark_hydrogen_oxidation",-0.611280179982641,11.7759049451342,6.96363559392767,0.0133761970683966,0.283912087818402,"Exp1","Root","NIP",504.833333333333,406.833333333333,261,244.333333333333,434.833333333333,273.666666666667,"dark_hydrogen_oxidation"
"nitrogen_fixation",0.724893102478531,14.6282980384645,5.05935678999046,0.0324556306505518,0.283912087818402,"Exp1","Root","NIP",2628.5,2462.33333333333,1536.5,2620.33333333333,1950.91666666667,2672.91666666667,"nitrogen_fixation"
