"","logFC","logCPM","F","PValue","fdr","Experiment","Compartment","Variety","rel.TP1","rel.TP2","rel.TP3","rel.TP4","rel.Intact","rel.Defoliation","module_name"
"module_other",0.0492166970984579,18.2353051681532,0.109789647031302,0.743092958645542,0.928866198306928,"Exp1","Root","NIP",24336.3333333333,12042.8333333333,24267.1666666667,22508.3333333333,24380.1666666667,17197.1666666667,"module_other"
"module3",-1.61754347410041e-16,4.83350814466292,0,1,1,"Exp1","Root","NIP",0,0,0,0,0,0,"module3"
"module0",-0.0450511330205396,10.6866442905735,0.027968899480106,0.868501888461306,0.930537737637114,"Exp1","Root","NIP",101.666666666667,83.5,136.666666666667,98.1666666666667,125,85,"module0"
"module5",0.0844828320803655,17.9628884753107,0.463645291843772,0.502065575490864,0.833348903431639,"Exp1","Root","NIP",14034.3333333333,10837.5,27348.5,22057.3333333333,21542.5,15596.3333333333,"module5"
"module1",0.157621319708102,11.7180592930895,0.57883428272417,0.453751795141378,0.833348903431639,"Exp1","Root","NIP",128,157.166666666667,374.333333333333,319,276.75,212.5,"module1"
"module4",-0.362815118009938,13.328631877573,1.11475712191686,0.300956702083125,0.694515466345673,"Exp1","Root","NIP",539.5,272.333333333333,1390.83333333333,1202.5,1092.75,609.833333333333,"module4"
"module13",-0.000284063836229997,14.6825953452914,2.55669913277972e-06,0.998736659040619,1,"Exp1","Root","NIP",1920,1251.83333333333,2147.66666666667,1719.33333333333,2014.83333333333,1504.58333333333,"module13"
"module2",-0.194974730966602,8.25296840255187,0.279712693503966,0.601465915236117,0.897932570451319,"Exp1","Root","NIP",33.5,10.8333333333333,18.8333333333333,20.1666666666667,26.3333333333333,15.3333333333333,"module2"
"module22",0.490395146653334,16.5294350989543,1.17025284456198,0.289479444226338,0.694515466345673,"Exp1","Root","NIP",3861.83333333333,4441,6528,7637.83333333333,4942.91666666667,6291.41666666667,"module22"
"module11",-0.203245774020916,16.8739156119033,0.71914812728689,0.404317992352441,0.818898417503345,"Exp1","Root","NIP",14351.5,3536.16666666667,12227.5,6393.83333333333,11008.3333333333,7246.16666666667,"module11"
"module6",0.149688380195535,8.57162998354885,0.218349803489749,0.644270850262243,0.897932570451319,"Exp1","Root","NIP",13.1666666666667,14.5,34.8333333333333,36.1666666666667,28.4166666666667,20.9166666666667,"module6"
"module7",0.896287257253761,10.6740354110169,9.94961372627624,0.0040949405040707,0.0614241075610605,"Exp1","Root","NIP",121.5,77.1666666666667,90,107.5,85.5,112.583333333333,"module7"
"module25",-0.0531894396949572,14.7209175529732,0.0383296257683708,0.846335363917824,0.930537737637114,"Exp1","Root","NIP",1730.5,1031,2049.5,2268.5,2139.5,1400.25,"module25"
"module9",0.0728806039225231,13.7301312314564,0.144950509359389,0.706563398795946,0.921604433212104,"Exp1","Root","NIP",945.166666666667,435.166666666667,1415.16666666667,1027.83333333333,1105.5,806.166666666667,"module9"
"module8",0.0370075341959985,13.9736722840188,0.0443256979524898,0.834923062073878,0.930537737637114,"Exp1","Root","NIP",909.833333333333,1570.66666666667,769,557.166666666667,990.083333333333,913.25,"module8"
"module10",0.14714078214982,16.0708619136844,0.703376263274866,0.409449208751672,0.818898417503345,"Exp1","Root","NIP",5747.66666666667,3110.66666666667,5809,5021.66666666667,5488.91666666667,4355.58333333333,"module10"
"module21",-0.330670959309715,8.85552424214485,0.409794490501282,0.527787638840038,0.833348903431639,"Exp1","Root","NIP",8.33333333333333,5.5,61.8333333333333,79.1666666666667,55.4166666666667,22,"module21"
"module18",-0.892764423044114,12.875823837534,11.7988499510552,0.00203909490302731,0.0611728470908194,"Exp1","Root","NIP",506,313,817.166666666667,663.333333333333,838,311.75,"module18"
"module12",0.846981881533361,13.6841926283527,3.72865225234279,0.064682026611276,0.29619275875074,"Exp1","Root","NIP",751.5,564.166666666667,614,1049.83333333333,692.833333333333,796.916666666667,"module12"
"module14",0.468409809805428,10.0567330776697,2.46522536199963,0.128724859075949,0.429082863586497,"Exp1","Root","NIP",46,54.8333333333333,96.1666666666667,85.8333333333333,66.5833333333333,74.8333333333333,"module14"
"module15",-0.891827355169098,11.5132029530825,8.75701778307215,0.0065777913232334,0.065777913232334,"Exp1","Root","NIP",197.833333333333,68.6666666666667,301.333333333333,368.833333333333,353.416666666667,114.916666666667,"module15"
"module16",-0.719911593031984,8.88054672492112,3.60147675048951,0.069111643708506,0.29619275875074,"Exp1","Root","NIP",14.6666666666667,10.6666666666667,64,54.5,54,17.9166666666667,"module16"
