Id,Label,timeset,label3,module,kingdom,phylum,class,order,family,genus,species,name,abun,modularity_class
Zotu1025,Zotu1025,,other,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Zotu1025,0.000322,3
Zotu1011,Zotu1011,,other,0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,uncultured bacterium,Zotu1011,0.000291,3
Zotu1041,Zotu1041,,other,0,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,possible family 01,uncultured microorganism,NA,Zotu1041,0.000519,0
Zotu1016,Zotu1016,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,uncultured bacterium,Zotu1016,0.001075,0
Zotu10430,Zotu10430,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,uncultured,NA,Zotu10430,0.000378,5
Zotu10065,Zotu10065,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu10065,0.001244,5
Zotu10300,Zotu10300,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,uncultured bacterium,Zotu10300,0.000377,1
Zotu1063,Zotu1063,,other,4,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,NA,NA,Zotu1063,0.000245,4
Zotu1033,Zotu1033,,other,4,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,NA,Zotu1033,0.00019,4
Zotu1064,Zotu1064,,other,1,Bacteria,Bacteroidetes,SB-5,NA,NA,NA,NA,Zotu1064,0.000171,13
Zotu1036,Zotu1036,,other,1,Bacteria,Spirochaetae,Spirochaetes,Spirochaetales,Leptospiraceae,Turneriella,uncultured organism,Zotu1036,0.000135,13
Zotu109,Zotu109,,other,3,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadales Incertae Sedis,uncultured,uncultured gamma proteobacterium,Zotu109,0.000241,2
Zotu107,Zotu107,,other,1,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA,Zotu107,0.000256,2
Zotu1092,Zotu1092,,other,1,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,4-29,NA,NA,Zotu1092,0.000192,13
Zotu1113,Zotu1113,,other,2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium,Zotu1113,0.000784,22
Zotu10,Zotu10,,diff,2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,uncultured bacterium,Zotu10,0.021573,22
Zotu1134,Zotu1134,,other,3,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,NA,Zotu1134,0.000194,13
Zotu1151,Zotu1151,,other,4,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,uncultured bacterium,Zotu1151,0.000101,4
Zotu100,Zotu100,,other,1,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,uncultured,uncultured bacterium,Zotu100,0.002051,13
Zotu1155,Zotu1155,,other,0,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,uncultured bacterium,Zotu1155,0.000287,3
Zotu11729,Zotu11729,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,NA,NA,Zotu11729,0.002113,5
Zotu11141,Zotu11141,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Azospira,uncultured bacterium,Zotu11141,0.000114,5
Zotu11736,Zotu11736,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Zoogloea,NA,Zotu11736,0.00017,5
Zotu118,Zotu118,,other,1,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomicrobium,NA,Zotu118,0.000199,11
Zotu102,Zotu102,,other,1,Bacteria,Chlorobi,Ignavibacteria,Ignavibacteriales,BSV26,uncultured bacterium,NA,Zotu102,0.000176,11
Zotu11993,Zotu11993,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Sideroxydans,NA,Zotu11993,0.000375,5
Zotu1207,Zotu1207,,other,4,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rubrivivax,uncultured bacterium,Zotu1207,0.000266,4
Zotu1208,Zotu1208,,other,3,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,NA,Zotu1208,0.000109,13
Zotu12105,Zotu12105,,other,5,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,uncultured,NA,Zotu12105,0.000273,1
