SampleID	Experiment	Timepoint	Variety	Compartment	Treatment	Sample
E1_unplanted_soil_1	Exp1	bulk soil	bulk soil	BS	Bulk soil	E1_bs
E1_unplanted_soil_3	Exp1	bulk soil	bulk soil	BS	Bulk soil	E1_bs
E1_unplanted_soil_4	Exp1	bulk soil	bulk soil	BS	Bulk soil	E1_bs
E1_unplanted_soil_6	Exp1	bulk soil	bulk soil	BS	Bulk soil	E1_bs
E1_MRE_Int1_1	Exp1	day1	MH63	Root	Intact	E1_MRE_Int1
E1_MRE_Int1_2	Exp1	day1	MH63	Root	Intact	E1_MRE_Int1
E1_MRE_Int1_3	Exp1	day1	MH63	Root	Intact	E1_MRE_Int1
E1_MRE_Def1_1	Exp1	day1	MH63	Root	Defoliation	E1_MRE_Def1
E1_MRE_Def1_2	Exp1	day1	MH63	Root	Defoliation	E1_MRE_Def1
E1_MRE_Def1_3	Exp1	day1	MH63	Root	Defoliation	E1_MRE_Def1
E1_MRE_Int3_1	Exp1	day3	MH63	Root	Intact	E1_MRE_Int3
E1_MRE_Int3_2	Exp1	day3	MH63	Root	Intact	E1_MRE_Int3
E1_MRE_Int3_3	Exp1	day3	MH63	Root	Intact	E1_MRE_Int3
E1_MRE_Def3_1	Exp1	day3	MH63	Root	Defoliation	E1_MRE_Def3
E1_MRE_Def3_2	Exp1	day3	MH63	Root	Defoliation	E1_MRE_Def3
E1_MRE_Def3_3	Exp1	day3	MH63	Root	Defoliation	E1_MRE_Def3
E1_MRE_Int5_1	Exp1	day5	MH63	Root	Intact	E1_MRE_Int5
E1_MRE_Int5_2	Exp1	day5	MH63	Root	Intact	E1_MRE_Int5
E1_MRE_Int5_3	Exp1	day5	MH63	Root	Intact	E1_MRE_Int5
E1_MRE_Def5_1	Exp1	day5	MH63	Root	Defoliation	E1_MRE_Def5
E1_MRE_Def5_2	Exp1	day5	MH63	Root	Defoliation	E1_MRE_Def5
E1_MRE_Def5_3	Exp1	day5	MH63	Root	Defoliation	E1_MRE_Def5
E1_MRE_Int7_1	Exp1	day7	MH63	Root	Intact	E1_MRE_Int7
E1_MRE_Int7_2	Exp1	day7	MH63	Root	Intact	E1_MRE_Int7
E1_MRE_Int7_3	Exp1	day7	MH63	Root	Intact	E1_MRE_Int7
E1_MRE_Def7_1	Exp1	day7	MH63	Root	Defoliation	E1_MRE_Def7
E1_MRE_Def7_2	Exp1	day7	MH63	Root	Defoliation	E1_MRE_Def7
E1_MRE_Def7_3	Exp1	day7	MH63	Root	Defoliation	E1_MRE_Def7
E1_NRE_Int1_1	Exp1	day1	NIP	Root	Intact	E1_NRE_Int1
E1_NRE_Int1_2	Exp1	day1	NIP	Root	Intact	E1_NRE_Int1
E1_NRE_Int1_3	Exp1	day1	NIP	Root	Intact	E1_NRE_Int1
E1_NRE_Def1_1	Exp1	day1	NIP	Root	Defoliation	E1_NRE_Def1
E1_NRE_Def1_2	Exp1	day1	NIP	Root	Defoliation	E1_NRE_Def1
E1_NRE_Def1_3	Exp1	day1	NIP	Root	Defoliation	E1_NRE_Def1
E1_NRE_Int3_1	Exp1	day3	NIP	Root	Intact	E1_NRE_Int3
