id,E1_MRE_Def1_1,E1_MRE_Def1_2,E1_MRE_Def1_3,E1_MRE_Def3_1,E1_MRE_Def3_2,E1_MRE_Def3_3,E1_MRE_Def5_1,E1_MRE_Def5_2,E1_MRE_Def5_3,E1_MRE_Def7_1,E1_MRE_Def7_2,E1_MRE_Def7_3,E1_MRE_Int1_1,E1_MRE_Int1_2,E1_MRE_Int1_3,E1_MRE_Int3_1,E1_MRE_Int3_2,E1_MRE_Int3_3,E1_MRE_Int5_1,E1_MRE_Int5_2,E1_MRE_Int5_3,E1_MRE_Int7_1,E1_MRE_Int7_2,E1_MRE_Int7_3,E1_MRS_Def1_1,E1_MRS_Def1_2,E1_MRS_Def1_3,E1_MRS_Def3_1,E1_MRS_Def3_2,E1_MRS_Def3_3,E1_MRS_Def5_1,E1_MRS_Def5_2,E1_MRS_Def5_3,E1_MRS_Def7_1,E1_MRS_Def7_2,E1_MRS_Def7_3,E1_MRS_Int1_1,E1_MRS_Int1_2,E1_MRS_Int1_3,E1_MRS_Int3_1,E1_MRS_Int3_2,E1_MRS_Int3_3,E1_MRS_Int5_1,E1_MRS_Int5_2,E1_MRS_Int5_3,E1_MRS_Int7_1,E1_MRS_Int7_2,E1_MRS_Int7_3,E1_NRE_Def1_1,E1_NRE_Def1_2,E1_NRE_Def1_3,E1_NRE_Def3_1,E1_NRE_Def3_2,E1_NRE_Def3_3,E1_NRE_Def5_1,E1_NRE_Def5_2,E1_NRE_Def5_3,E1_NRE_Def7_1,E1_NRE_Def7_2,E1_NRE_Def7_3,E1_NRE_Int1_1,E1_NRE_Int1_2,E1_NRE_Int1_3,E1_NRE_Int3_1,E1_NRE_Int3_2,E1_NRE_Int3_3,E1_NRE_Int5_1,E1_NRE_Int5_2,E1_NRE_Int5_3,E1_NRE_Int7_1,E1_NRE_Int7_2,E1_NRE_Int7_3,E1_NRS_Def1_1,E1_NRS_Def1_2,E1_NRS_Def1_3,E1_NRS_Def3_1,E1_NRS_Def3_2,E1_NRS_Def3_3,E1_NRS_Def5_1,E1_NRS_Def5_2,E1_NRS_Def5_3,E1_NRS_Def7_1,E1_NRS_Def7_2,E1_NRS_Def7_3,E1_NRS_Int1_1,E1_NRS_Int1_2,E1_NRS_Int1_3,E1_NRS_Int3_1,E1_NRS_Int3_2,E1_NRS_Int3_3,E1_NRS_Int5_1,E1_NRS_Int5_2,E1_NRS_Int5_3,E1_NRS_Int7_1,E1_NRS_Int7_2,E1_NRS_Int7_3,E1_unplanted_soil_1,E1_unplanted_soil_3,E1_unplanted_soil_4,E1_unplanted_soil_6,E2_MRE_Def1_1,E2_MRE_Def1_2,E2_MRE_Def1_3,E2_MRE_Def2_1,E2_MRE_Def2_2,E2_MRE_Def2_3,E2_MRE_Def3_1,E2_MRE_Def3_2,E2_MRE_Def3_3,E2_MRE_Def4_1,E2_MRE_Def4_2,E2_MRE_Def4_3,E2_MRE_Def5_1,E2_MRE_Def5_2,E2_MRE_Def5_3,E2_MRE_Int1_1,E2_MRE_Int1_2,E2_MRE_Int1_3,E2_MRE_Int2_1,E2_MRE_Int2_2,E2_MRE_Int2_3,E2_MRE_Int3_1,E2_MRE_Int3_2,E2_MRE_Int3_3,E2_MRE_Int4_1,E2_MRE_Int4_2,E2_MRE_Int4_3,E2_MRE_Int5_1,E2_MRE_Int5_2,E2_MRE_Int5_3,E2_MRS_Def1_1,E2_MRS_Def1_2,E2_MRS_Def1_3,E2_MRS_Def2_1,E2_MRS_Def2_2,E2_MRS_Def2_3,E2_MRS_Def3_1,E2_MRS_Def3_2,E2_MRS_Def3_3,E2_MRS_Def4_1,E2_MRS_Def4_2,E2_MRS_Def4_3,E2_MRS_Def5_1,E2_MRS_Def5_2,E2_MRS_Def5_3,E2_MRS_Int1_1,E2_MRS_Int1_2,E2_MRS_Int1_3,E2_MRS_Int2_1,E2_MRS_Int2_2,E2_MRS_Int2_3,E2_MRS_Int3_1,E2_MRS_Int3_2,E2_MRS_Int3_3,E2_MRS_Int4_1,E2_MRS_Int4_2,E2_MRS_Int4_3,E2_MRS_Int5_1,E2_MRS_Int5_2,E2_MRS_Int5_3,E2_NRE_Def1_1,E2_NRE_Def1_2,E2_NRE_Def1_3,E2_NRE_Def2_1,E2_NRE_Def2_2,E2_NRE_Def2_3,E2_NRE_Def3_1,E2_NRE_Def3_2,E2_NRE_Def3_3,E2_NRE_Def4_1,E2_NRE_Def4_2,E2_NRE_Def4_3,E2_NRE_Def5_1,E2_NRE_Def5_2,E2_NRE_Def5_3,E2_NRE_Int1_1,E2_NRE_Int1_2,E2_NRE_Int1_3,E2_NRE_Int2_1,E2_NRE_Int2_2,E2_NRE_Int2_3,E2_NRE_Int3_1,E2_NRE_Int3_2,E2_NRE_Int3_3,E2_NRE_Int4_1,E2_NRE_Int4_2,E2_NRE_Int4_3,E2_NRE_Int5_1,E2_NRE_Int5_2,E2_NRE_Int5_3,E2_NRS_Def1_1,E2_NRS_Def1_2,E2_NRS_Def1_3,E2_NRS_Def2_1,E2_NRS_Def2_2,E2_NRS_Def2_3,E2_NRS_Def3_1,E2_NRS_Def3_2,E2_NRS_Def3_3,E2_NRS_Def4_1,E2_NRS_Def4_2,E2_NRS_Def4_3,E2_NRS_Def5_1,E2_NRS_Def5_2,E2_NRS_Def5_3,E2_NRS_Int1_1,E2_NRS_Int1_2,E2_NRS_Int1_3,E2_NRS_Int2_1,E2_NRS_Int2_2,E2_NRS_Int2_3,E2_NRS_Int3_1,E2_NRS_Int3_2,E2_NRS_Int3_3,E2_NRS_Int4_1,E2_NRS_Int4_2,E2_NRS_Int4_3,E2_NRS_Int5_1,E2_NRS_Int5_2,E2_NRS_Int5_3,E2_unplanted_soil_1,E2_unplanted_soil_2,E2_unplanted_soil_3,E2_unplanted_soil_4
methanotrophy,0.017448476,0.017645855,0.006300964,0.03328122,0.0243643,0.0325715,0.021307828,0.010087087,0.012552898,0.05907781,0.021798823,0.024723425,0.024577573,0.013647966,0.021005598,0.026574036,0.015847426,0.019571751,0.012397406,0.014332887,0.00885479,0.014687338,0.011382901,0.011714641,0.038357401,0.021208834,0.01145762,0.046970084,0.038919703,0.040104281,0.040261131,0.029515901,0.040576225,0.042239132,0.043896708,0.044935637,0.024528555,0.023626626,0.025326436,0.029419754,0.027122759,0.024441906,0.03505527,0.028989621,0.027917004,0.031508156,0.037965261,0.026688477,0.016733935,0.015649952,0.023994217,0.016280881,0.01620952,0.025620447,0.007331602,0.009264628,0.008362684,0.022982235,0.014442925,0.012698627,0.016323096,0.017208099,0.012744057,0.009002621,0.031001014,0.012460426,0.017820438,0.009366475,0.012558603,0.007580203,0.006013594,0.015130475,0.041040121,0.037892116,0.039512453,0.044164199,0.058664413,0.056010198,0.031546783,0.033157277,0.034786147,0.046799842,0.031232657,0.055715599,0.049773397,0.033906177,0.043459729,0.039288984,0.055699201,0.049432502,0.019336397,0.021448181,0.023698903,0.01614143,0.023270284,0.022935433,0.017776695,0.008510187,0.018321059,0.008963231,0.000144686,0.001169465,0.000392786,0.020403442,0.016514091,0.008870996,0.01242278,0.017154944,0.019028785,0.019601371,0.014457577,0.019539012,0.016805998,0.010008022,0.006348779,5.47E-05,1.41E-05,3.69E-05,0.029114312,0.022806263,0.026197921,0.01411993,0.016434893,0.012994044,0.010482468,0.025304864,0.006686509,0.016684561,0.012519763,0.016322874,0.002230626,0.001698743,0.001834822,0.01067883,0.012227136,0.009319919,0.0143666,0.013018439,0.016707156,0.01604457,0.015737003,0.020030581,0.020784629,0.019911614,0.020491186,0.001763209,0.001868078,0.003961129,0.014787705,0.010910728,0.011892464,0.010226779,0.012579694,0.00989064,0.009680204,0.0151588,0.01246643,0.025048706,0.019788085,0.017859596,0.000442545,0.000975443,0.000679922,0.01855685,0.027601721,0.048609343,0.026716955,0.017366506,0.041815583,0.039575647,0.024645353,0.023787613,0.016229117,0.03020297,0.009791743,0.000334523,0.000469368,0.000379935,0.032507811,0.04181868,0.025971474,0.013567626,0.036116247,0.021248709,0.019170238,0.02508559,0.035910143,0.00616481,0.014028785,0.009613409,0.009431776,0.004339132,0.007618432,0.028207368,0.032147823,0.023332891,0.017134006,0.015414093,0.01279489,0.015428592,0.019152169,0.019275174,0.029948492,0.021969576,0.020708062,0.024451067,0.022364635,0.017110776,0.028009462,0.048721922,0.041895572,0.012521822,0.01202532,0.015374903,0.035282906,0.021563138,0.027194926,0.021387585,0.02621818,0.02770055,0.006087111,0.006249479,0.00327016,0.006373301
acetoclastic_methanogenesis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_disproportionation_of_methyl_groups,0,0,0,0,0,0,0,0,0,4.12E-05,0,0,0,0,0,2.29E-05,0,0,0,0,1.44E-05,0,0,0,0,2.31E-05,3.91E-05,0,0,0,0,0,0,0,0,0,2.98E-05,0,0,0,1.99E-05,0,0,0,0,0,2.26E-05,0,0,0,0,0,0,0,0,0,0,3.41E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.41E-05,2.52E-05,0,0,0,0,0,0,0,0,0,0,0,1.52E-05,0,0,0,0,0,0,0,0,0,0,0,1.73E-05,8.33E-06,0,0,0,0,0,0,0,0,0,2.54E-05,0,0.000165585,0,3.82E-05,0,0,0,0,0,0,0,0,0,0,2.29E-05,0,0,2.15E-05,0,0,0,1.02E-05,0,5.37E-05,2.37E-05,0,2.65E-05,0,0,1.97E-05,0,2.18E-05,1.83E-05,0,1.67E-05,0,0,0,4.95E-05,2.65E-05,2.52E-05,2.56E-05,3.43E-05,0,2.06E-05,2.53E-05,0,2.14E-05,0,3.05E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.30E-05,2.11E-05,0,0,0,0,0,0,2.03E-05,0,0,1.03E-05,0,0,0,4.28E-05,1.96E-05,0,0,4.28E-05,3.09E-05,3.51E-05,7.86E-05,0,2.94E-05,1.60E-05,0,1.52E-05,0,0,1.11E-05,3.24E-05,3.72E-05,1.40E-05,0,0,1.19E-05,1.26E-05,0,6.14E-05,0,0,0,0,0,5.29E-05
methanogenesis_using_formate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
methanogenesis_by_CO2_reduction_with_H2,0,0,0,0,0,5.00E-05,0,0,0,4.12E-05,0,0,0,0,0,2.29E-05,0,0,1.91E-05,0,1.44E-05,0,0,0,0,2.31E-05,3.91E-05,7.67E-05,2.34E-05,0,0,1.59E-05,0,1.76E-05,2.26E-05,1.82E-05,4.47E-05,0,0,2.72E-05,1.99E-05,0,0,1.35E-05,0,0,2.26E-05,0,0,0,7.05E-05,0,0,0,0,0,0,3.41E-05,0,0,1.40E-05,8.21E-05,0,0,3.62E-05,2.90E-05,0,0,0,0,1.96E-05,0,2.19E-05,8.12E-05,0.000201466,0,0,0,0,0,0,0,0,0,0,1.60E-05,4.57E-05,0,0,0,0,0,0,0,0,0,1.11E-05,1.63E-05,3.45E-05,8.33E-06,0,7.17E-06,6.44E-06,0,7.18E-05,3.56E-05,0.00027006,0,8.79E-05,7.62E-05,0.000316589,0.000165585,0,0.000190993,0,0,0,0,8.76E-05,3.31E-05,0,7.19E-05,0.000158028,6.02E-05,4.58E-05,0.000111672,1.36E-05,6.44E-05,1.84E-05,0.000149295,1.28E-05,3.05E-05,1.09E-05,0.000107325,0.000118251,7.80E-05,0.000211663,0,8.52E-05,3.94E-05,0,6.55E-05,3.65E-05,0,6.70E-05,0,1.21E-05,0,4.95E-05,5.30E-05,5.04E-05,0.000178969,6.86E-05,5.36E-05,6.17E-05,2.53E-05,3.63E-05,4.28E-05,0,0.000122117,0,0,0,0,3.28E-05,0,0,3.93E-05,1.62E-05,1.28E-05,3.20E-05,9.90E-06,9.94E-06,0,5.62E-06,0,0,0,2.30E-05,4.22E-05,0,1.57E-05,1.80E-05,1.99E-05,0,0,2.03E-05,3.77E-05,2.14E-05,1.03E-05,1.78E-05,4.08E-05,2.31E-05,9.42E-05,9.79E-05,7.37E-05,0,4.28E-05,4.12E-05,0.000152294,0.0001048,0,2.94E-05,3.20E-05,1.57E-05,4.56E-05,0,0,5.55E-05,9.73E-05,8.37E-05,1.40E-05,5.99E-06,1.24E-05,1.19E-05,1.26E-05,0,0.000122741,3.39E-05,0,8.86E-05,4.17E-05,7.43E-05,0.000132226
methanogenesis_by_reduction_of_methyl_compounds_with_H2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hydrogenotrophic_methanogenesis,0,0,0,0,0,5.00E-05,0,0,0,4.12E-05,0,0,0,0,0,2.29E-05,0,0,1.91E-05,0,1.44E-05,0,0,0,0,2.31E-05,3.91E-05,7.67E-05,2.34E-05,0,0,1.59E-05,0,1.76E-05,2.26E-05,1.82E-05,4.47E-05,0,0,2.72E-05,1.99E-05,0,0,1.35E-05,0,0,2.26E-05,0,0,0,7.05E-05,0,0,0,0,0,0,3.41E-05,0,0,1.40E-05,8.21E-05,0,0,3.62E-05,2.90E-05,0,0,0,0,1.96E-05,0,2.19E-05,8.12E-05,0.000201466,0,0,0,0,0,0,0,0,0,0,1.60E-05,4.57E-05,0,0,0,0,0,0,0,0,0,1.11E-05,1.63E-05,3.45E-05,8.33E-06,0,7.17E-06,6.44E-06,0,7.18E-05,3.56E-05,0.00027006,0,8.79E-05,7.62E-05,0.000316589,0.000165585,0,0.000190993,0,0,0,0,8.76E-05,3.31E-05,0,7.19E-05,0.000158028,6.02E-05,4.58E-05,0.000111672,1.36E-05,6.44E-05,1.84E-05,0.000149295,1.28E-05,3.05E-05,1.09E-05,0.000107325,0.000118251,7.80E-05,0.000211663,0,8.52E-05,3.94E-05,0,6.55E-05,3.65E-05,0,6.70E-05,0,1.21E-05,0,4.95E-05,5.30E-05,5.04E-05,0.000178969,6.86E-05,5.36E-05,6.17E-05,2.53E-05,3.63E-05,4.28E-05,0,0.000122117,0,0,0,0,3.28E-05,0,0,3.93E-05,1.62E-05,1.28E-05,3.20E-05,9.90E-06,9.94E-06,0,5.62E-06,0,0,0,2.30E-05,4.22E-05,0,1.57E-05,1.80E-05,1.99E-05,0,0,2.03E-05,3.77E-05,2.14E-05,1.03E-05,1.78E-05,4.08E-05,2.31E-05,9.42E-05,9.79E-05,7.37E-05,0,4.28E-05,4.12E-05,0.000152294,0.0001048,0,2.94E-05,3.20E-05,1.57E-05,4.56E-05,0,0,5.55E-05,9.73E-05,8.37E-05,1.40E-05,5.99E-06,1.24E-05,1.19E-05,1.26E-05,0,0.000122741,3.39E-05,0,8.86E-05,4.17E-05,7.43E-05,0.000132226
methanogenesis,0,8.19E-05,0,7.11E-05,2.01E-05,5.00E-05,2.29E-05,0,0.000190195,0.000123508,8.41E-05,0,0,0,0,4.59E-05,0,0,1.91E-05,2.39E-05,1.44E-05,3.71E-05,9.69E-05,4.78E-05,0.000196202,0.000161547,0.00017597,0.000255689,9.36E-05,0.000219282,8.40E-05,0.000111141,0.000117886,5.28E-05,4.52E-05,0.000109244,0.000119071,6.12E-05,5.77E-05,0.000407476,3.98E-05,0.000214194,0.000217599,6.76E-05,0.000143717,4.65E-05,0.000270697,0.000344367,0,0,8.81E-05,0,0,3.09E-05,0,0,0,3.41E-05,0,0,2.80E-05,0.000205347,2.04E-05,0,7.24E-05,2.90E-05,0,0,0,0,1.96E-05,0,0.000218881,0.000270658,0.000604397,0,4.23E-05,0,0,5.87E-05,0,0,0,0,0.000253542,0.000192194,0.000213113,5.09E-05,0,5.47E-05,0,0,0,0,0,0,0.000199241,0.000212143,0.000172677,0.000391517,0,7.17E-06,6.44E-06,6.94E-05,0.000251301,0.000106879,0.000438848,0.000232681,0.000219732,7.62E-05,0.000633179,0.000165585,0.000861846,0.000611177,4.04E-05,0,0,0,0.000131343,0.000198603,0.000112679,0.0002515,0.000158028,0.000210552,0.000160212,0.00020101,4.08E-05,0.000128838,5.52E-05,0.000248824,5.13E-05,8.14E-05,4.37E-05,0.00021465,0.000425703,0.000116986,0.000449783,7.26E-05,0.000511444,0.000137806,4.94E-05,0.00024028,0.000127849,0.000124137,0.000200894,1.24E-05,2.41E-05,0,0.000296743,0.000211859,0.000251959,0.000536906,0.000308494,0.000562882,0.000123315,0.000126534,0.000108877,0.000128455,0.000140341,0.000381615,4.76E-06,3.80E-06,0,2.41E-05,0.000114939,6.36E-05,1.58E-05,5.90E-05,4.87E-05,7.66E-05,3.20E-05,9.90E-06,9.94E-06,1.15E-05,2.25E-05,0,6.02E-06,1.15E-05,6.89E-05,0.00014762,3.47E-05,6.28E-05,3.59E-05,3.97E-05,0,0,4.06E-05,0.000188526,4.28E-05,2.05E-05,0.000142636,9.52E-05,4.62E-05,0.0004196,0.000499403,0.000191495,2.12E-05,8.56E-05,8.24E-05,0.000210869,0.0001048,4.40E-05,7.36E-05,0.000208167,0.000204098,0.000106441,9.81E-05,2.06E-05,0.000155485,0.000324488,0.000511262,8.41E-05,1.20E-05,1.24E-05,4.76E-05,3.78E-05,2.36E-05,0.000398908,0.000101621,8.12E-05,0.000265942,0.000166653,0.000222965,0.000766912
methanol_oxidation,0.002781641,0.003561924,0.00107487,0.006206178,0.005097638,0.006744099,0.002568866,0.001023328,0.002805383,0.012309592,0.001961334,0.005964406,0.003328213,0.003802678,0.003697807,0.002911909,0.001450934,0.001558978,0.00137749,0.002440658,0.000692231,0.011942734,0.001743764,0.003299225,0.004905038,0.002815536,0.00260045,0.004755817,0.004657259,0.006042443,0.007535842,0.004159853,0.006790211,0.009000916,0.005489913,0.00926752,0.006266093,0.002540168,0.00386531,0.004753885,0.003263487,0.003141511,0.006092784,0.004595091,0.00206593,0.005747795,0.006068125,0.003744996,0.001632579,0.007026509,0.008691513,0.004105613,0.006158202,0.00882825,0.002749351,0.007048333,0.003559791,0.01104784,0.006377893,0.00582114,0.004880101,0.007392501,0.004595213,0.001695699,0.00985079,0.004531064,0.011867365,0.004304335,0.006364321,0.003358112,0.00291865,0.005525661,0.016591153,0.016456005,0.013951497,0.018023078,0.02920541,0.028604207,0.011768106,0.025938967,0.02059706,0.023597985,0.021551458,0.026539994,0.01720914,0.011067156,0.01599866,0.016173329,0.023587502,0.021039378,0.012946979,0.010037749,0.013860149,0.011233962,0.012319562,0.011581258,0.005932944,0.003329009,0.008435285,0.003207104,9.40E-05,0.000258287,0.000128782,0.008513001,0.004954227,0.004524564,0.008405631,0.007741935,0.010635025,0.011654183,0.008890882,0.00841171,0.006980953,0.005233202,0.004075594,2.98E-05,0,2.11E-05,0.013046714,0.011816888,0.010760867,0.006862358,0.01153603,0.006256392,0.006385608,0.010519498,0.003615064,0.007622933,0.006103614,0.009057205,0.001051215,0.000406884,0.000622529,0.003300241,0.003192773,0.004718453,0.006164674,0.004210424,0.004219409,0.009095204,0.007926176,0.010725208,0.00739699,0.008118576,0.008738888,0.000682933,0.000566449,0.001713291,0.010435471,0.004925717,0.006273779,0.004320814,0.004901625,0.003484507,0.004316014,0.008174111,0.008528707,0.007857158,0.007683671,0.005754759,8.09E-05,9.49E-05,0.000257268,0.006257822,0.008932383,0.012713213,0.011283298,0.010758187,0.009909676,0.005106535,0.009307979,0.002829974,0.006513524,0.005945921,0.001849302,0.000181598,9.03E-05,2.30E-05,0.013485573,0.017672241,0.00891144,0.007553273,0.023533002,0.008539201,0.008437938,0.006930179,0.006987041,0.005674641,0.013387224,0.004888871,0.004189919,0.001020172,0.00210084,0.010592749,0.008117742,0.008131159,0.008720838,0.006882821,0.007674874,0.016705521,0.015366275,0.013480527,0.014275202,0.008614892,0.008430803,0.006812238,0.006245095,0.007347933,0.010872825,0.013474378,0.014092232,0.008462396,0.007958989,0.004964039,0.014282311,0.009772767,0.012224161,0.011138728,0.012753417,0.010512004,0.001861592,0.003166403,0.002935712,0.001983392
methylotrophy,0.020230118,0.021207779,0.007375834,0.039487398,0.029461938,0.039315599,0.023876694,0.011110415,0.015358281,0.071387402,0.023760157,0.030687831,0.027905786,0.017450643,0.024703405,0.029485945,0.01729836,0.021130729,0.013774895,0.016773545,0.009547021,0.026630072,0.013126665,0.015013866,0.043262439,0.024024371,0.01405807,0.051725901,0.043576962,0.046146724,0.047796973,0.033675754,0.047366436,0.051240048,0.049386621,0.054203157,0.030794648,0.026166794,0.029191746,0.034173639,0.030386246,0.027583417,0.041148055,0.033584712,0.029982934,0.037255951,0.044033386,0.030433473,0.018366514,0.022676461,0.03268573,0.020386494,0.022367723,0.034448697,0.010080953,0.016312961,0.011922476,0.034030075,0.020820818,0.018519767,0.021203197,0.0246006,0.01733927,0.01069832,0.040851804,0.01699149,0.029687803,0.013670809,0.018922924,0.010938315,0.008932244,0.020656136,0.057631274,0.05434812,0.05346395,0.062187277,0.087869822,0.084614404,0.04331489,0.059096244,0.055383207,0.070397827,0.052784115,0.082255593,0.066982537,0.044973333,0.05945839,0.055462313,0.079286703,0.070471881,0.032283376,0.03148593,0.037559052,0.027375392,0.035589846,0.034516691,0.02370964,0.011839196,0.026756344,0.012170335,0.000238733,0.001427751,0.000521568,0.028916443,0.021468318,0.013395561,0.02082841,0.02489688,0.02966381,0.031255554,0.023348459,0.027950722,0.023786952,0.015241224,0.010424373,8.45E-05,1.41E-05,5.79E-05,0.042161026,0.034623151,0.036958788,0.020982287,0.027970923,0.019250436,0.016868077,0.035824362,0.010301572,0.024307494,0.018623378,0.025380079,0.003281841,0.002105627,0.002457351,0.013979072,0.015419909,0.014038372,0.020531273,0.017228863,0.020926565,0.025139775,0.023663179,0.030755789,0.028181619,0.02803019,0.029230074,0.002446141,0.002434527,0.00567442,0.025223176,0.015836445,0.018166243,0.014547593,0.017481319,0.013375147,0.013996218,0.023332912,0.020995137,0.032905864,0.027471756,0.023614355,0.000523441,0.001070331,0.00093719,0.024814672,0.036534104,0.061322556,0.038000252,0.028124693,0.051725258,0.044682182,0.033953332,0.026617587,0.022742641,0.03614889,0.011641044,0.000516122,0.000559631,0.000402961,0.045993384,0.059490921,0.034882915,0.021120899,0.059649249,0.02978791,0.027608176,0.032015769,0.042897185,0.011839451,0.027416009,0.01450228,0.013621695,0.005359305,0.009719272,0.038800116,0.040265565,0.031464051,0.025854844,0.022296914,0.020469764,0.032134113,0.034518445,0.032755701,0.044223694,0.030584468,0.029138865,0.031263305,0.028609731,0.024458709,0.038882287,0.062196299,0.055987804,0.020984218,0.01998431,0.020338941,0.049565217,0.031335906,0.039419087,0.032526313,0.038971597,0.038212554,0.007948703,0.009415882,0.006205871,0.008356693
